B.1.596,USA,Washington,2/1/2021
B.1.160,Denmark,Hovedstaden,12/28/2020
B.1.221,Netherlands,Zuid-Holland,2/18/2021
B.1.427,USA,California,2/18/2021
B.1.160,Italy,Campania,2/15/2021
B.1.596,USA,Colorado,2/24/2021
B.1.427,USA,Washington,2/25/2021
B.1.427,USA,California,1/4/2021
B.1.596,USA,Minnesota,2/17/2021
B.1.243,USA,Georgia,12/26/2020
B.1.221,Switzerland,Aargau,12/23/2020
B.1.243,USA,Texas,1/2/2021
B.1.1.519,Mexico,Morelos,3/17/2021
B.1.1.519,Switzerland,Basel-Landschaft,2/2/2021
B.1.596,USA,Arizona,2/2/2021
B.1.243,USA,Wisconsin,3/26/2021
B.1.596,USA,Georgia,2/9/2021
B.1.1.519,USA,Massachusetts,3/25/2021
B.1.160,Italy,Campania,12/9/2020
B.1.427,USA,California,3/10/2021
B.1.427,USA,California,2/24/2021
B.1.1.519,USA,Michigan,2/9/2021
B.1.596,USA,Texas,1/1/2021
B.1.427,USA,California,3/15/2021
B.1.221,Germany,Saxony,2/8/2021
B.1.427,USA,California,1/22/2021
B.1.160,Denmark,Hovedstaden,2/1/2021
B.1.1.519,USA,Texas,3/2/2021
B.1.1.214,Japan,Japan,1/21/2021
B.1.160,France,France,2/15/2021
B.1.427,USA,California,3/28/2021
B.1.221,Germany,Saxony,1/21/2021
B.1.1.519,USA,Washington,1/26/2021
B.1.596,USA,Pennsylvania,2/19/2021
B.1.427,USA,California,3/10/2021
B.1.160,Sweden,Stockholm,2/15/2021
B.1.1.214,Japan,Japan,1/3/2021
B.1.427,USA,Virginia,2/10/2021
B.1.160,Netherlands,Zuid-Holland,2/2/2021
B.1.243,USA,Pennsylvania,2/26/2021
B.1.221,Germany,Baden-Wurttemberg,1/26/2021
B.1.221,Spain,Navarra,1/29/2021
B.1.243,USA,Kansas,2/1/2021
B.1.1.519,USA,Washington,4/2/2021
B.1.160,Switzerland,Schaffhausen,11/8/2020
B.1.221,Germany,Saarland,2/11/2021
B.1.1.214,Japan,Japan,12/29/2020
B.1.1.519,USA,Utah,1/20/2021
B.1.596,USA,Minnesota,2/16/2021
B.1.243,USA,Virginia,1/25/2021
B.1.221,Switzerland,Basel-Stadt,10/21/2020
B.1.177.21,Denmark,Sjaelland,2/1/2021
B.1.243,USA,Arizona,10/30/2020
B.1.1.214,Japan,Japan,12/28/2020
B.1.1.519,USA,Minnesota,2/9/2021
B.1.1.214,Japan,Japan,2/13/2021
B.1.427,USA,Illinois,3/13/2021
B.1.1.519,Mexico,Veracruz,2/12/2021
B.1.1.519,USA,Florida,3/13/2021
B.1.1.214,Japan,Japan,1/14/2021
B.1.427,USA,California,1/31/2021
B.1.1.519,USA,Indiana,2/25/2021
B.1.1.519,Mexico,Puebla,3/9/2021
B.1.1.214,Japan,Tokyo,2020-09-00
B.1.1.519,USA,Indiana,3/13/2021
B.1.1.214,Japan,Japan,1/10/2021
B.1.177.21,Denmark,Hovedstaden,1/11/2021
B.1.596,USA,Texas,1/2/2021
B.1.243,USA,Florida,3/3/2021
B.1.221,Switzerland,Zurich,11/10/2020
B.1.177.21,Denmark,Hovedstaden,1/18/2021
B.1.221,Belgium,Li\u00e8ge,2/9/2021
B.1.221,Sweden,Skane,2/9/2021
B.1.1.519,USA,Florida,3/14/2021
B.1.160,Portugal,Portugal,1/26/2021
B.1.596,USA,Texas,3/20/2021
B.1.1.519,USA,Alaska,3/24/2021
B.1.160,Spain,Navarra,2/3/2021
B.1.160,Switzerland,Geneva,11/9/2020
B.1.596,USA,Texas,2021-00-00
B.1.427,USA,California,2/19/2021
B.1.177.21,Denmark,Hovedstaden,1/11/2021
B.1.427,USA,Arizona,2/28/2021
B.1.160,Slovenia,Obalnokraska,1/28/2021
B.1.243,USA,California,2/3/2021
B.1.160,Sweden,Gavleborg,1/27/2021
B.1.160,Germany,Berlin,1/30/2021
B.1.1.214,Japan,Japan,2/13/2021
B.1.160,Japan,Japan,10/10/2020
B.1.1.519,USA,Minnesota,3/29/2021
B.1.221,Netherlands,Limburg,1/11/2021
B.1.596,USA,Arizona,2/25/2021
B.1.160,Sweden,Skane,1/18/2021
B.1.1.519,Mexico,Aguascalientes,3/14/2021
B.1.258,Sweden,Vasterbotten,12/1/2020
B.1.258,Bulgaria,Sofia,12/7/2020
B.1.221,England,England,2/8/2021
B.1.427,USA,California,3/17/2021
B.1.427,USA,Michigan,3/10/2021
B.1.160,Germany,Germany,2/24/2021
B.1.221,Sweden,Skane,2/9/2021
B.1.177.21,Denmark,Hovedstaden,12/14/2020
B.1.160,Switzerland,Basel-Landschaft,2/9/2021
B.1.243,USA,California,1/17/2021
B.1.243,USA,Texas,2/3/2021
B.1.221,Sweden,Halland,2/1/2021
B.1.221,Switzerland,Bern,1/30/2021
B.1.1.214,Japan,Japan,12/8/2020
B.1.1.519,USA,Indiana,3/21/2021
B.1.1.214,Japan,Japan,1/29/2021
B.1.1.214,Japan,Japan,1/14/2021
B.1.243,USA,Maryland,1/25/2021
B.1.177.21,Denmark,Syddanmark,2/8/2021
B.1.258,Sweden,Vasterbotten,2/18/2021
B.1.160,Switzerland,Zurich,12/30/2020
B.1.221,Netherlands,Limburg,1/19/2021
B.1.1.214,Japan,Japan,1/30/2021
B.1.1.214,Japan,Japan,3/2/2021
B.1.1.519,USA,Colorado,3/19/2021
B.1.427,USA,Washington,3/2/2021
B.1.1.214,Japan,Japan,1/13/2021
B.1.1.214,Japan,Japan,12/4/2020
B.1.1.519,USA,Ohio,3/7/2021
B.1.160,Switzerland,Neuch\u00e2tel,1/20/2021
B.1.596,USA,Texas,6/19/2020
B.1.1.214,Japan,Japan,1/26/2021
B.1.1.519,USA,California,3/28/2021
B.1.1.214,Japan,Japan,1/20/2021
B.1.1.214,Japan,Japan,1/13/2021
B.1.427,USA,California,12/9/2020
B.1.160,Slovenia,Gorenjska,1/25/2021
B.1.160,Sweden,Stockholm,3/2/2021
B.1.177.21,Sweden,Skane,1/18/2021
B.1.243,USA,Wyoming,12/8/2020
B.1.160,Switzerland,Bern,11/23/2020
B.1.1.519,USA,Florida,3/24/2021
B.1.427,USA,California,2/4/2021
B.1.243,USA,California,12/29/2020
B.1.596,USA,Massachusetts,2/18/2021
B.1.1.214,Japan,Japan,12/12/2020
B.1.596,USA,Nevada,1/28/2021
