B.1.1.7,USA,Michigan,3/24/2021
P.1,USA,Virginia,5/5/2021
P.1,USA,Texas,4/22/2021
B.1,USA,Michigan,4/2/2020
B.1.429,USA,California,4/21/2021
B.1.526,USA,Georgia,4/27/2021
B.1,USA,Washington,4/5/2021
B.1.1.7,France,Ile-de-France,4/13/2021
B.1.429,USA,Hawaii,3/2/2021
B.1.1.7,Italy,Campania,4/18/2021
B.1.2,USA,Arizona,10/5/2020
B.1.526,Aruba,Aruba,5/11/2021
B.1.429,USA,Michigan,3/22/2021
B.1.429,USA,Washington,5/3/2021
B.1.429,USA,California,2/26/2021
B.1.526,USA,Minnesota,3/23/2021
B.1.2,USA,Oregon,2/1/2021
P.1,USA,Arizona,4/28/2021
B.1.526,USA,Washington,4/8/2021
B.1.526,USA,California,4/5/2021
B.1.429,USA,California,4/9/2021
B.1.177,Greece,Crete,11/8/2020
B.1.1.7,USA,Michigan,4/9/2021
B.1.1,Germany,Bavaria,3/16/2021
B.1,Germany,Saxony-Anhalt,4/19/2021
B.1.2,USA,Wyoming,11/19/2020
P.1,USA,Alaska,4/1/2021
B.1.1,USA,Nebraska,4/3/2021
B.1.2,USA,California,1/10/2021
P.1,USA,Indiana,4/20/2021
B.1.429,USA,Colorado,3/26/2021
B.1.429,USA,California,2/23/2021
P.1,Uruguay,Canelones,3/19/2021
B.1.177,Spain,Catalunya,2/12/2021
B.1,Denmark,Midtjylland,12/7/2020
B.1.429,USA,Maine,4/18/2021
B.1.526,USA,Maine,4/20/2021
B.1.1,USA,Texas,12/1/2020
B.1.429,USA,Iowa,4/5/2021
B.1.351,USA,Washington,4/28/2021
B.1.429,USA,California,3/24/2021
B.1.429,USA,Washington,4/12/2021
P.1,Canada,Ontario,2021-04-00
B.1.429,USA,Wisconsin,3/25/2021
P.1,USA,Massachusetts,4/27/2021
P.1,USA,Florida,4/29/2021
B.1.177,Denmark,Hovedstaden,12/7/2020
B.1.2,USA,California,2/1/2021
P.1,USA,Illinois,4/11/2021
B.1.1.7,Poland,Podkarpackie,4/20/2021
B.1.526,USA,Massachusetts,4/24/2021
B.1.1.7,Denmark,Syddanmark,3/22/2021
B.1.526,USA,Virginia,4/27/2021
B.1.429,USA,California,1/12/2021
B.1.429,Canada,Quebec,1/28/2021
B.1.1.7,Spain,Madrid,2021-02-00
P.1,USA,Florida,3/30/2021
B.1.526,USA,Pennsylvania,5/4/2021
B.1.429,USA,Minnesota,4/29/2021
B.1.1.7,Spain,Madrid,5/5/2021
B.1.2,USA,Texas,12/11/2020
B.1.526,USA,Pennsylvania,4/27/2021
B.1.526,USA,Massachusetts,4/27/2021
B.1.526,USA,Arizona,5/4/2021
P.1,USA,Massachusetts,4/13/2021
B.1.2,USA,Texas,12/11/2020
B.1.1,Brazil,Pernambuco,1/6/2021
B.1.1,Japan,Tokyo,1/18/2021
B.1.2,USA,California,2/25/2021
P.1,USA,Illinois,5/1/2021
B.1,USA,Wisconsin,9/9/2020
P.1,USA,Illinois,4/20/2021
B.1,USA,Texas,12/7/2020
B.1.2,USA,California,1/16/2021
B.1.429,USA,California,4/4/2021
B.1.526,USA,Minnesota,4/23/2021
B.1.429,USA,Indiana,4/21/2021
B.1.526,USA,Florida,4/24/2021
B.1.2,USA,Texas,11/19/2020
B.1.429,USA,California,4/6/2021
B.1.2,USA,California,1/12/2021
B.1.1.7,USA,Michigan,4/5/2021
B.1.1.7,Italy,Campania,5/18/2021
B.1.2,USA,California,1/6/2021
P.1,USA,Washington,4/16/2021
P.1,USA,Minnesota,4/16/2021
P.1,Canada,Alberta,4/11/2021
B.1.526,USA,Arizona,4/10/2021
B.1.1.7,Germany,Berlin,3/16/2021
P.1,USA,Oregon,4/15/2021
B.1.2,USA,Colorado,4/13/2021
P.1,Canada,Alberta,4/2/2021
B.1.1,USA,Massachusetts,3/24/2021
P.1,USA,Washington,5/7/2021
B.1.1,Cyprus,Cyprus,2020-00-00
B.1.1,USA,Pennsylvania,4/26/2021
P.1,Belgium,Antwerp,4/26/2021
B.1.526,USA,Washington,4/12/2021
B.1.526,USA,Florida,5/6/2021
P.1,Canada,Ontario,2021-04-00
B.1.177,Denmark,Hovedstaden,12/28/2020
P.1,Canada,Ontario,2021-05-00
B.1.429,USA,Colorado,3/29/2021
B.1.2,USA,Ohio,3/19/2021
B.1.177,Spain,Andalusia,2/3/2021
B.1.1.7,France,Ile-de-France,3/29/2021
P.1,USA,Illinois,5/5/2021
P.1,USA,Oklahoma,4/1/2021
B.1.1.7,USA,Michigan,4/9/2021
B.1.526,USA,Connecticut,4/11/2021
B.1.526,USA,Wisconsin,4/20/2021
B.1,Turkey,Turkey,3/30/2021
P.1,USA,Illinois,4/15/2021
B.1.526,USA,Wisconsin,3/31/2021
P.1,Uruguay,Montevideo,3/22/2021
B.1.177,Greece,Attica,12/11/2020
B.1.526,USA,Florida,4/16/2021
B.1.1.7,India,Delhi,2021-02-00
B.1.1.7,Poland,podkarpackie,5/4/2021
P.1,Brazil,Goias,4/19/2021
P.1,Canada,Alberta,4/4/2021
B.1.526,USA,California,4/29/2021
B.1.1.7,USA,Michigan,4/7/2021
P.1,USA,Illinois,4/24/2021
B.1.2,USA,Texas,12/13/2020
B.1.1,Italy,Campania,10/1/2020
B.1.429,USA,Colorado,3/25/2021
B.1.2,USA,Utah,1/16/2021
B.1,Germany,Bavaria,12/8/2020
B.1.2,USA,California,12/18/2020
B.1,Germany,Bavaria,12/12/2020
B.1.526,USA,Vermont,4/11/2021
B.1.1,Japan,Hokkaido,6/28/2020
B.1.1.7,USA,Michigan,4/1/2021
P.1,Brazil,Maranhao,3/10/2021
B.1,USA,Texas,7/22/2020
B.1.1.7,Italy,Campania,4/21/2021
P.1,Canada,Ontario,2021-05-00
B.1,USA,Texas,3/5/2021
P.1,Canada,Alberta,4/4/2021
B.1.526,USA,Wisconsin,3/20/2021
P.1,USA,California,4/27/2021
P.1,USA,Washington,4/19/2021
B.1.177,Spain,Navarra,12/12/2020
B.1.177,Spain,Andalusia,1/13/2021
B.1.1.7,Poland,Dolnoslaskie,4/10/2021
B.1.2,USA,Washington,2/19/2021
B.1.2,USA,Texas,12/10/2020
B.1.177,Germany,Bavaria,1/26/2021
B.1.526,USA,Florida,3/31/2021
P.1,Canada,Ontario,2021-04-00
B.1.1.7,Ireland,Kildare,3/22/2021
B.1.2,USA,Texas,8/4/2020
B.1.1.7,USA,Michigan,3/22/2021
B.1.1,USA,Texas,8/14/2020
B.1.526,USA,Washington,4/23/2021
B.1.1.7,Italy,Campania,4/8/2021
B.1.526,USA,Maryland,3/22/2021
B.1.1.7,Germany,Hamburg,5/2/2021
B.1.2,USA,Massachusetts,1/21/2021
B.1.429,USA,California,4/9/2021
P.1,USA,Massachusetts,4/15/2021
P.1,USA,Massachusetts,4/25/2021
B.1.1,USA,Arizona,10/9/2020
P.1,Denmark,Hovedstaden,3/15/2021
B.1.429,USA,California,1/18/2021
B.1,Turkey,Turkey,3/30/2021
B.1.526,USA,Florida,4/22/2021
B.1.526,USA,Wisconsin,4/6/2021
B.1.1,Canada,Alberta,12/30/2020
B.1,France,Auvergne-Rhone-Alpes,4/7/2021
