B.1.1.519,USA,Pennsylvania,4/19/2021
B.1.177.21,Denmark,Hovedstaden,12/7/2020
B.1.177.21,Denmark,Hovedstaden,12/14/2020
B.1.427,USA,Arizona,2/2/2021
B.1.177.21,Denmark,Hovedstaden,3/8/2021
B.1.1.519,USA,Missouri,3/25/2021
B.1.1.519,USA,Texas,3/21/2021
B.1.1.519,USA,Utah,3/29/2021
B.1.1.519,USA,Texas,4/28/2021
B.1.427,USA,California,2/14/2021
B.1.1.519,USA,Florida,4/7/2021
B.1.1.519,USA,California,3/30/2021
B.1.1.519,USA,Utah,3/26/2021
B.1.243,USA,Arizona,10/9/2020
B.1.177.21,Denmark,Hovedstaden,12/7/2020
B.1.596,USA,Texas,3/7/2021
B.1.160,Denmark,Sjaelland,3/1/2021
B.1.427,USA,Colorado,4/8/2021
B.1.1.519,Mexico,Queretaro,4/2/2021
B.1.243,USA,California,7/7/2020
B.1.177.21,Denmark,Midtjylland,12/14/2020
B.1.160,Sweden,Stockholm,2/8/2021
B.1.177.21,Denmark,Hovedstaden,12/14/2020
B.1.1.214,Japan,Japan,12/18/2020
B.1.160,Malta,Malta,4/24/2021
B.1.160,Denmark,Sjaelland,1/18/2021
B.1.1.519,Spain,Cantabria,4/2/2021
B.1.1.519,Mexico,Queretaro,3/26/2021
B.1.243,USA,Texas,12/3/2020
B.1.1.519,USA,Colorado,4/9/2021
B.1.177.21,Denmark,Hovedstaden,1/4/2021
B.1.1.519,USA,California,1/11/2021
B.1.1.519,USA,Michigan,4/2/2021
B.1.177.21,Denmark,Sjaelland,11/23/2020
B.1.1.214,Japan,Fukuoka,3/3/2021
B.1.596,USA,Michigan,4/3/2021
B.1.243,USA,California,12/28/2020
B.1.243,USA,California,11/17/2020
B.1.427,USA,Washington,4/5/2021
B.1.596,USA,Texas,12/28/2020
B.1.177.21,Denmark,Hovedstaden,12/7/2020
B.1.427,USA,Montana,3/30/2021
B.1.177.21,Denmark,Hovedstaden,3/1/2021
B.1.1.214,Japan,Kanto,12/21/2020
B.1.1.519,USA,Alaska,5/2/2021
B.1.1.519,USA,Alaska,5/6/2021
B.1.243,USA,California,12/20/2020
B.1.427,USA,Utah,3/23/2021
B.1.427,USA,California,1/13/2021
B.1.177.21,Denmark,Hovedstaden,11/23/2020
B.1.160,Slovenia,Slovenia,12/23/2020
B.1.1.519,USA,Washington,4/20/2021
